Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data,Задержка  uS
316,1409841700,33,0,51
317,1409899950,0,9,19
318,1409925950,0B,0,45
319,1409978700,0,5,19
320,1410004700,30,0,51
321,1410062950,0,9,19
322,1410088950,0B,0,45
323,1410141700,0,5,19
324,1410167700,57,0,51
325,1410225950,0,9,19
326,1410251950,0B,0,45
327,1410304700,0,5,19
328,1410330700,77,0,51
329,1410388950,0,9,19
330,1410414950,0B,0,45
331,1410467700,0,5,19
332,1410493700,47,0,51
333,1410551950,0,9,19
334,1410577950,0B,0,45
335,1410630700,0,5,19
336,1410656700,67,0,51
337,1410714950,0,9,19
338,1410740950,0B,0,45
339,1410793700,0,5,19
340,1410819700,58,0,51
341,1410877950,0,9,19
342,1410903950,0B,0,45
343,1410956700,0,5,19
344,1410982700,78,0,51
345,1411040950,0,9,19
346,1411066950,9,0,45
347,1411119700,0,5,19
348,1411145700,4C,0,51
349,1411203950,0,9,19
350,1411229950,9,0,45
351,1411282700,0,5,19
352,1411308700,6C,0,51
353,1411366950,0,9,19
354,1411392950,9,0,45
355,1411445700,0,5,19
356,1411471700,59,0,51
357,1411529950,0,9,19
358,1411555950,29,0,46
359,1411608950,0,5,19
360,1411634950,69,0,58
361,1411700700,0,9,19
362,1411726700,28,0,29
363,1411762700,0,6,18
364,1411787950,0,60,2672
365,1414467200,0,29,19
366,1414493200,EE,0,2047
367,1416547450,0,0F,19
368,1416573450,42,0,41
369,1416621700,0,9,19
370,1416647700,1B,0,48
371,1416702950,0,5,19
372,1416728950,51,0,54
373,1416789950,0,9,19
374,1416815950,9,0,45
375,1416868700,0,5,19
376,1416894700,33,0,54
377,1416955700,0,9,19
378,1416981700,9,0,45
379,1417034450,0,5,19
380,1417060450,3F,0,54
381,1417121450,0,9,19
382,1417147450,9,0,45
383,1417200200,0,5,19
384,1417226200,33,0,54
385,1417287200,0,9,19
386,1417313200,29,0,46
387,1417366200,0,5,19
388,1417392200,30,0,61
389,1417460700,0,9,19
390,1417486700,28,0,29
391,1417522700,0,6,18
392,1417547950,0,60,25408
393,1442963450,0,29,19
394,1442989450,EE,0,9479
395,1452476200,0,29,19
396,1452502200,EE,0,9467
397,1461976200,0,29,19
398,1462002200,EE,0,9540
399,1471549700,0,29,19
400,1471575700,EE,0,9536
401,1481118950,0,29,19
402,1481144950,EE,0,9519
403,1490671700,0,29,19
404,1490697700,EE,0,9495
405,1500199950,0,29,19
406,1500225950,DC,0,9495
407,1509727950,0,29,19
408,1509753950,DC,0,9495
409,1519255950,0,29,19
410,1519281950,DC,0,9495
411,1528784000,0,29,19
412,1528810000,EE,0,9508
413,1538325750,0,29,19
414,1538351750,EE,0,9495
415,1547854000,0,29,19
416,1547880000,EE,0,9495
417,1557382000,0,29,19
418,1557408000,EE,0,9495
419,1566910000,0,29,19
420,1566936000,EE,0,9495
421,1576438000,0,29,19
422,1576464000,EE,0,9508
423,1585979750,0,29,19
424,1586005750,EE,0,9495
425,1595508000,0,29,19
426,1595534000,EE,0,9495
427,1605036000,0,29,19
428,1605062000,EE,0,9495
429,1614564000,0,29,19
430,1614590000,EE,0,9495
431,1624092000,0,29,19
432,1624118000,FE,0,9495
433,1633620000,0,29,19
434,1633646000,DC,0,9508
435,1643161000,0,29,19
436,1643187000,DC,0,9495
437,1652689050,0,29,19
438,1652715050,EE,0,9495
439,1662217050,0,29,19
440,1662243050,EE,0,9495
441,1671745050,0,29,19
442,1671771050,EE,0,9495
443,1681273050,0,29,19
444,1681299050,EE,0,9508
445,1690814800,0,29,19
446,1690840800,EE,0,9494
447,1700342050,0,29,19
448,1700368050,EE,0,9495
449,1709870050,0,29,19
450,1709896050,EE,0,9495
451,1719398050,0,29,19
452,1719424050,EE,0,9495
453,1728926050,0,29,19
454,1728952050,EE,0,9495
455,1738454050,0,29,19
456,1738480050,EE,0,9508
457,1747995050,0,29,19
458,1748021050,EE,0,9411
459,1757439800,0,29,19
460,1757465800,DC,0,9495
461,1766967800,0,29,19
462,1766993800,DC,0,9495
463,1776495800,0,29,19
464,1776521800,DC,0,9495
465,1786023850,0,29,19
466,1786049850,EE,0,9562
467,1795619600,0,29,19
