Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
655,2693370350,0,29
656,2693396350,EE,0
657,2702912100,0,29
658,2702938100,EE,0
659,2712440100,0,29
660,2712466100,EE,0
661,2721968050,0,29
662,2721994050,EC,0
663,2731496050,0,29
664,2731522050,DC,0
665,2741024050,0,29
666,2741050050,DC,0
667,2750565050,0,29
668,2750591050,DC,0
669,2760093050,0,29
670,2760119050,DC,0
671,2769621050,0,29
672,2769647050,DC,0
673,2779149050,0,29
674,2779175050,DC,0
675,2788677050,0,29
676,2788703050,DC,0
677,2798204300,0,29
678,2798230300,FE,0
679,2807746050,0,29
680,2807772050,FE,0
681,2817274050,0,29
682,2817300050,EE,0
683,2826802050,0,29
684,2826828050,EE,0
685,2836330050,0,29
686,2836356050,EE,0
687,2845856800,0,29
688,2845882800,EE,0
689,2855398550,0,29
690,2855424550,EE,0
691,2864926550,0,29
692,2864952550,EE,0
693,2874454550,0,29
694,2874480550,EE,0
695,2883982550,0,29
696,2884008550,EE,0
697,2893509300,0,29
698,2893535300,EE,0
699,2903037300,0,29
700,2903063300,EE,0
701,2912579050,0,29
702,2912605050,EE,0
703,2922107050,0,29
704,2922133050,EE,0
705,2931635050,0,29
706,2931661050,EE,0
707,2941163050,0,29
708,2941189050,EE,0
709,2950689800,0,29
710,2950715800,EE,0
711,2960231550,0,29
712,2960257550,EE,0
713,2969759550,0,29
714,2969785550,EE,0
715,2979287550,0,29
716,2979313550,EE,0
717,2988815550,0,29
718,2988841550,EE,0
719,2998342300,0,29
720,2998368300,EE,0
721,3007870300,0,29
722,3007896300,EE,0
723,3017412050,0,29
724,3017438050,EE,0
725,3026940050,0,29
726,3026966050,EE,0
727,3036468050,0,29
728,3036494050,EE,0
729,3045994800,0,29
730,3046020800,EE,0
731,3055522800,0,29
732,3055548800,EE,0
733,3065064550,0,29
734,3065090550,EE,0
735,3074592550,0,29
736,3074618550,EE,0
737,3084120550,0,29
738,3084146550,EE,0
739,3093647800,0,29
740,3093673800,EE,0
741,3103175750,0,29
742,3103201750,DC,0
743,3112703750,0,29
744,3112729750,DC,0
745,3122245500,0,29
746,3122271500,DC,0
747,3131773500,0,29
748,3131799500,DC,0
749,3141301500,0,29
750,3141327500,DC,0
751,3150828750,0,29
752,3150854750,DC,0
753,3160356750,0,29
754,3160382750,DC,0
755,3169898500,0,29
756,3169924500,DC,0
757,3179426500,0,29
758,3179452500,FE,0
759,3188954500,0,29
760,3188980500,EE,0
761,3198481750,0,29
762,3198507750,EE,0
763,3208009750,0,29
764,3208035750,EE,0
765,3217537750,0,29
766,3217563750,EE,0
767,3227079500,0,29
768,3227105500,EE,0
769,3236607500,0,29
770,3236633500,EE,0
771,3246134750,0,29
772,3246160750,EE,0
773,3255662750,0,29
774,3255688750,EE,0
775,3265190750,0,29
776,3265216750,EE,0
777,3274732500,0,29
778,3274758500,EE,0
779,3284260500,0,29
780,3284286500,EE,0
781,3293787250,0,29
782,3293813250,EE,0
783,3303232000,0,29
784,3303258000,EE,0
785,3312760000,0,29
786,3312786000,EE,0
787,3322288000,0,29
788,3322314000,EE,0
789,3331829750,0,29
790,3331855750,EE,0
791,3341357750,0,29
792,3341383750,EE,0
793,3342629250,0,9
794,3342655250,68,0
795,3342997500,0,4
796,3343022750,0,50
797,3343058000,0,4
798,3343083250,0,33
799,3343118500,0,4
800,3343143750,0,30
801,3343179000,0,4
802,3343204250,0,23
803,3343239500,0,4
804,3343264750,0,23
805,3343300000,0,4
806,3343325250,0,52
807,3343360500,0,4
808,3343385750,0,47
809,3343421000,0,4
810,3343446250,0,49
811,3343481500,0,4
812,3343506750,0,6E
813,3343542000,0,4
814,3343567250,0,64
815,3343602500,0,4
816,3343627750,0,75
817,3343663000,0,4
818,3343688250,0,44
819,3343723500,0,4
820,3343748750,0,2B
821,3343782750,0,6
822,3343808000,0,50
823,3343838750,0,4
824,3343864000,0,2B
825,3343893250,0,6
826,3343918500,0,60
827,3351858250,0,29
828,3351884250,EE,0
829,3361373250,0,29
830,3361399250,EE,0
831,3370958500,0,29
832,3370984500,EE,0
833,3378700250,0,0F
834,3378726250,42,0
835,3378774500,0,9
836,3378800500,1B,0
837,3378855750,0,5
838,3378881750,51,0
839,3378943000,0,9
840,3378969000,9,0
841,3379021750,0,5
842,3379047750,23,0
843,3379109000,0,9
844,3379135000,9,0
845,3379187750,0,5
846,3379213750,23,0
847,3379275000,0,9
848,3379301000,9,0
849,3379353750,0,5
850,3379379750,33,0
851,3379441000,0,9
852,3379467000,29,0
853,3379520000,0,5
854,3379546000,30,0
855,3379614750,0,9
856,3379640750,28,0
857,3379676750,0,6
858,3379702000,0,60
859,3381514500,0,29
860,3381540500,EE,0
861,3387241250,0,0F
862,3387267250,42,0
863,3387315500,0,9
864,3387341500,1B,0
865,3387396750,0,5
866,3387422750,50,0
867,3387486500,0,9
868,3387512500,0B,0
869,3387565250,0,5
870,3387591250,23,0
871,3387655000,0,9
872,3387681000,0B,0
873,3387733750,0,5
874,3387759750,23,0
875,3387823500,0,9
876,3387849500,9,0
877,3387902250,0,5
878,3387928250,33,0
879,3387992000,0,9
880,3388018000,9,0
881,3388070750,0,5
882,3388096750,30,0
883,3388160500,0,9
884,3388186500,9,0
885,3388239250,0,5
886,3388265250,53,0
887,3388329000,0,9
888,3388355000,29,0
889,3388408000,0,5
890,3388434000,4E,0
891,3388505750,0,9
892,3388531750,28,0
893,3388567750,0,6
894,3388593000,0,60
